State,Year,(R01) Total Revenue,(E001) Total Expenditure,(E065) Total Highways-Dir Exp,(E066) Total Highways-Cur Op,(E067) Total Highways-Cap Out,(E068) Regular Hwy-Direct Exp,(E069) Regular Hwy-Cur Oper (E44),(E070) Regular Hwy-Cap Outlay,(E071) Toll Hwy-Total Expend,(E072) Toll Hwy-Current Oper (E45),(E073) Toll Hwy-Cap Outlay
Georgia,1982,5100,5087,460,146,313,460,146,313,0,0,0
Georgia,1983,5618,5416,399,149,249,399,149,249,0,0,0
Georgia,1984,5637,5165,329,157,173,329,157,173,0,0,0
Georgia,1985,6101,5554,437,159,277,436,159,277,0,0,0
Georgia,1986,6337,5959,433,161,272,433,161,272,0,0,0
Georgia,1987,6504,6272,431,159,272,431,158,272,0,0,0
Georgia,1988,6669,6352,434,126,308,434,125,308,0,0,0
Georgia,1989,6731,6459,398,127,271,398,127,271,0,0,0
Georgia,1990,6929,6558,416,127,289,415,127,289,0,0,0
Georgia,1991,6827,6700,417,120,297,417,120,297,0,0,0
Georgia,1992,6903,6704,354,111,243,354,111,243,0,0,0
Georgia,1993,7186,6827,381,108,272,380,108,272,0,0,0
Georgia,1994,7418,6916,353,111,242,351,109,242,1,1,0
Georgia,1995,7599,7326,424,115,309,423,114,309,1,1,0
Georgia,1996,7916,7316,427,118,309,426,117,309,1,1,0
Georgia,1997,7971,7439,378,124,254,377,122,254,2,2,0
Georgia,1998,7704,7390,405,110,294,403,108,294,2,2,0
Georgia,1999,8460,7508,453,112,341,451,111,341,2,2,0
Georgia,2000,8531,7529,432,113,319,430,111,319,2,2,0
Georgia,2002,7393,8585,471,109,361,469,107,361,2,2,0
Georgia,2004,8433,8652,361,108,253,359,107,253,2,2,0
Georgia,2005,8478,8539,525,223,302,523,221,302,2,2,0
Georgia,2006,8772,8546,502,220,282,500,218,282,2,2,0
Georgia,2007,9609,9302,814,155,659,813,154,659,1,1,0
Georgia,2008,8748,9306,465,151,315,464,150,315,1,1,0
Georgia,2009,7505,9050,389,137,252,388,136,252,1,1,0
Georgia,2010,8840,9047,400,128,272,399,127,272,1,1,0
Georgia,2011,9405,8732,323,132,191,322,131,191,1,1,0
Georgia,2012,7796,8440,334,128,206,333,127,206,1,1,0
Georgia,2013,8692,8277,352,134,218,350,132,218,2,2,0
Georgia,2014,9000,8130,357,134,223,356,132,223,1,1,0
Georgia,2015,7941,8188,328,133,195,327,132,195,1,1,0
Georgia,2016,7773,8146,410,158,252,408,156,252,2,2,0
Georgia,2017,8798,8169,418,163,255,416,162,255,2,2,0
Hawaii,1977,8074,8405,589,265,324,589,265,324,0,0,0
Hawaii,1978,7842,7692,422,150,272,422,150,272,0,0,0
Hawaii,1979,7474,6872,434,153,281,434,153,281,0,0,0
Hawaii,1980,7264,6469,400,119,281,400,119,281,0,0,0
Hawaii,1981,7094,6483,399,137,262,399,137,262,0,0,0
Hawaii,1982,6908,6507,366,154,212,366,154,212,0,0,0
Hawaii,1983,7077,6792,375,125,250,375,125,250,0,0,0
Hawaii,1984,7254,6598,403,143,260,403,143,260,0,0,0
Hawaii,1985,7287,7014,294,144,151,294,144,151,0,0,0
Hawaii,1986,7774,6918,314,151,163,314,151,163,0,0,0
Hawaii,1987,7848,6983,299,152,147,299,152,147,0,0,0
Hawaii,1988,8416,7049,358,172,186,358,172,186,0,0,0
Hawaii,1989,8744,7490,374,186,188,374,186,188,0,0,0
Hawaii,1990,9535,8274,445,163,282,445,163,282,0,0,0
Hawaii,1991,9546,9155,548,180,368,548,180,368,0,0,0
Hawaii,1992,9835,10080,652,198,455,652,198,455,0,0,0
Hawaii,1993,9923,10339,628,167,461,628,167,461,0,0,0
Hawaii,1994,9854,10391,599,153,446,599,153,446,0,0,0
Hawaii,1995,9648,10297,476,126,350,476,126,350,0,0,0
Hawaii,1996,10150,9824,445,119,326,445,119,326,0,0,0
Hawaii,1997,10266,9639,499,139,359,499,139,359,0,0,0
Hawaii,1998,10221,9239,412,133,279,412,133,279,0,0,0
Hawaii,1999,9839,9469,490,185,305,490,185,305,0,0,0
Hawaii,2000,9957,9682,414,189,225,414,189,225,0,0,0
Hawaii,2002,8191,10334,460,202,258,460,202,258,0,0,0
Hawaii,2004,10366,10076,359,210,149,359,210,149,0,0,0
Hawaii,2005,10680,10227,453,209,244,453,209,244,0,0,0
Hawaii,2006,11139,10229,413,233,181,413,233,181,0,0,0
Hawaii,2007,12214,11034,455,239,216,451,239,212,3,0,3
Hawaii,2008,10228,11472,525,275,250,525,275,250,0,0,0
Hawaii,2009,8417,12104,580,310,270,580,310,270,0,0,0
Hawaii,2010,12087,11818,617,326,291,617,326,291,0,0,0
Hawaii,2011,12598,11369,446,238,209,446,238,209,0,0,0
Hawaii,2012,10617,11335,505,295,210,505,295,210,0,0,0
Hawaii,2013,12243,11000,513,287,225,513,287,225,0,0,0
Hawaii,2014,13095,11716,525,319,206,525,319,206,0,0,0
Hawaii,2015,12227,11693,610,282,329,610,282,329,0,0,0
Hawaii,2016,12428,11598,552,290,262,549,290,260,3,0,3
Hawaii,2017,14287,11783,423,292,131,422,291,130,1,0,1
Idaho,1977,5165,5013,704,246,458,704,246,458,0,0,0
Idaho,1978,5287,4889,661,271,390,661,271,390,0,0,0
Idaho,1979,5225,4718,563,241,322,563,241,322,0,0,0
Idaho,1980,4929,4562,535,199,337,535,199,337,0,0,0
Idaho,1981,4840,4481,478,213,265,478,213,265,0,0,0
Idaho,1982,4744,4527,437,181,256,437,181,256,0,0,0
Idaho,1983,4828,4630,477,167,309,477,167,309,0,0,0
Idaho,1984,5004,4581,515,191,324,515,191,324,0,0,0
Idaho,1985,5245,4870,554,184,370,554,184,370,0,0,0
Idaho,1986,5519,5075,577,191,386,577,191,386,0,0,0
Idaho,1987,5750,5185,543,186,358,543,186,358,0,0,0
Idaho,1988,5689,5254,538,182,356,538,182,356,0,0,0
Idaho,1989,6121,5397,614,187,427,614,187,427,0,0,0
Idaho,1990,6248,5458,603,182,421,603,182,421,0,0,0
Idaho,1991,6196,5699,560,182,377,560,182,377,0,0,0
Idaho,1992,6411,6058,562,217,345,562,217,345,0,0,0
Idaho,1993,6841,5950,515,194,321,515,194,321,0,0,0
Idaho,1994,7161,6077,538,194,343,538,194,343,0,0,0
Idaho,1995,7219,6635,631,216,415,631,216,415,0,0,0
Idaho,1996,7703,6588,569,226,343,569,226,343,0,0,0
Idaho,1997,7497,6831,612,308,305,612,308,305,0,0,0
Idaho,1998,7923,6881,592,301,291,592,301,291,0,0,0
Idaho,1999,7921,7145,605,309,296,605,309,296,0,0,0
Idaho,2000,8315,7015,614,286,328,614,286,328,0,0,0
Idaho,2002,6986,7690,629,293,336,629,293,336,0,0,0
Idaho,2004,9094,7856,609,275,334,609,275,334,0,0,0
Idaho,2005,8791,7834,601,264,337,601,264,337,0,0,0
Idaho,2006,8980,7723,613,271,342,613,271,342,0,0,0
Idaho,2007,9637,7772,614,263,350,614,263,350,0,0,0
Idaho,2008,7816,7997,641,279,362,641,278,362,0,0,0
Idaho,2009,6686,8531,651,272,379,651,272,379,0,0,0
Idaho,2010,8938,8627,695,270,425,695,270,425,0,0,0
Idaho,2011,9706,8269,690,271,418,690,271,418,0,0,0
Idaho,2012,7740,7603,589,264,325,589,264,325,0,0,0
Idaho,2013,8294,7648,568,257,311,568,257,311,0,0,0
Idaho,2014,8863,7449,561,257,303,560,257,303,0,0,0
Idaho,2015,8067,7512,554,248,306,554,247,306,0,0,0
Idaho,2016,7955,7590,511,236,275,511,236,275,0,0,0
Idaho,2017,9121,7666,514,250,264,514,250,264,0,0,0
Illinois,1977,6031,5944,502,191,311,481,182,300,21,10,12
Illinois,1978,5878,5634,378,186,192,361,176,185,17,11,6
Illinois,1979,5852,5475,422,198,224,402,189,213,20,9,11
Illinois,1980,5792,5452,478,187,291,461,179,282,17,9,9
Illinois,1981,5929,5680,446,175,271,430,167,262,16,8,8
Illinois,1982,5806,5507,367,180,186,350,173,177,17,8,9
Illinois,1983,6022,5714,395,183,212,376,172,203,20,10,9
Illinois,1984,6194,5629,426,188,238,399,179,220,27,10,18
Illinois,1985,6311,5802,480,202,278,451,192,259,30,10,20
Illinois,1986,6680,6146,472,204,268,444,194,250,28,10,18
Illinois,1987,6849,6303,484,207,277,463,196,267,21,11,10
Illinois,1988,6764,6417,492,210,282,450,199,250,43,11,32
Illinois,1989,6857,6233,485,204,281,432,195,238,53,10,43
Illinois,1990,7130,6431,494,211,283,455,200,255,40,11,29
Illinois,1991,7053,6804,510,214,296,482,201,281,28,13,15
Illinois,1992,7412,7108,537,225,311,506,213,293,30,13,18
Illinois,1993,7569,7275,482,205,277,422,192,230,60,13,47
Illinois,1994,7728,7268,478,219,259,438,206,233,40,14,26
Illinois,1995,8049,7737,500,212,288,459,198,261,42,14,27
Illinois,1996,8250,7714,465,215,250,438,202,236,27,13,14
Illinois,1997,8424,7848,475,219,256,439,206,234,36,13,23
Illinois,1998,8503,7970,450,214,235,419,200,219,30,14,16
Illinois,1999,8762,8248,454,211,243,412,197,215,42,14,28
Illinois,2000,9238,8555,467,240,226,428,226,202,39,15,24
Illinois,2002,8014,9508,617,247,370,575,232,343,43,15,27
Illinois,2004,10367,9998,515,246,269,466,227,239,49,19,30
Illinois,2005,9920,9727,525,246,279,482,226,255,43,20,24
Illinois,2006,10367,9734,516,244,273,475,225,250,42,19,23
Illinois,2007,11180,10152,620,271,349,507,253,254,113,19,94
Illinois,2008,9169,10349,611,285,326,504,263,240,108,22,86
Illinois,2009,6650,11115,677,299,378,530,264,265,147,34,113
Illinois,2010,11064,11338,719,262,457,565,239,326,154,23,131
Illinois,2011,11513,10971,606,255,351,566,233,333,40,22,18
Illinois,2012,9865,10667,596,248,348,553,228,325,44,20,23
Illinois,2013,11447,10836,591,239,352,521,219,302,70,20,50
Illinois,2014,12109,11009,614,266,348,519,244,275,95,22,73
Illinois,2015,10920,11337,710,277,433,556,254,302,154,23,131
Illinois,2016,10302,11134,762,249,512,551,225,325,211,24,187
Illinois,2017,11668,11480,730,253,477,498,227,271,232,26,206
Indiana,1977,4554,4226,371,154,217,364,149,215,7,5,2
Indiana,1978,4667,4106,332,161,171,324,156,169,8,5,3
Indiana,1979,4565,4164,373,172,201,360,167,193,13,5,8
Indiana,1980,4199,4191,375,152,223,361,147,215,14,6,8
Indiana,1981,4432,4398,334,147,187,323,141,181,11,6,6
Indiana,1982,4439,4328,298,161,137,286,155,130,12,6,6
Indiana,1983,4672,4552,283,163,120,270,157,113,13,6,7
Indiana,1984,5058,4619,333,160,174,295,154,141,38,6,32
Indiana,1985,5375,4811,355,171,184,344,162,182,11,8,2
Indiana,1986,5576,5049,366,176,190,352,169,183,14,7,7
Indiana,1987,5704,5311,384,189,196,374,183,191,11,6,4
Indiana,1988,5714,5346,380,185,196,367,178,189,13,7,6
Indiana,1989,6144,5579,379,177,202,365,169,196,14,8,7
Indiana,1990,6131,5668,354,185,169,342,176,166,12,9,3
Indiana,1991,6199,5953,365,186,179,356,179,177,9,6,2
Indiana,1992,6597,6260,375,189,186,366,183,183,9,6,3
Indiana,1993,6691,6455,401,191,210,389,184,205,12,6,6
Indiana,1994,7085,6662,381,188,193,365,178,188,16,10,6
Indiana,1995,6951,6420,385,190,195,370,182,188,15,8,7
Indiana,1996,6823,6420,388,185,203,376,178,199,12,7,4
Indiana,1997,7253,6584,412,193,219,401,186,215,11,7,4
Indiana,1998,7200,6732,426,200,225,412,191,221,14,9,5
Indiana,1999,7518,7190,445,204,241,432,193,239,12,10,2
Indiana,2000,7645,7302,459,212,247,448,203,244,12,9,3
Indiana,2002,7574,8028,450,227,222,436,214,222,14,14,0
Indiana,2004,8550,8212,483,217,266,467,205,262,16,11,4
Indiana,2005,8856,8429,459,206,253,441,193,248,18,13,5
Indiana,2006,9698,8475,460,193,267,459,192,267,1,1,0
Indiana,2007,9225,8677,450,192,258,450,192,258,0,0,0
Indiana,2008,8320,8657,497,205,292,497,205,292,0,0,0
Indiana,2009,8251,9111,520,195,325,520,195,325,0,0,0
Indiana,2010,9492,9222,473,170,302,473,170,302,0,0,0
Indiana,2011,9550,8827,452,161,291,452,161,291,0,0,0
Indiana,2012,8730,8568,461,138,323,461,138,323,0,0,0
Indiana,2013,8978,8461,410,133,277,410,133,277,0,0,0
Indiana,2014,9185,8420,395,149,246,395,149,246,0,0,0
Indiana,2015,9051,8591,427,158,269,427,158,269,0,0,0
Indiana,2016,9080,8918,417,169,249,417,169,249,0,0,0
Indiana,2017,9536,8841,367,152,215,367,152,215,0,0,0
Iowa,1977,5728,5575,715,343,372,715,343,372,0,0,0
Iowa,1978,5731,5533,728,371,356,727,370,356,1,1,0
Iowa,1979,5740,5588,761,364,397,761,364,397,1,1,0
Iowa,1980,5630,5648,712,345,367,711,344,367,1,1,0
Iowa,1981,5537,5453,649,309,340,646,308,338,3,1,2
Iowa,1982,5681,5527,581,314,268,580,313,267,1,1,0
Iowa,1983,5863,5811,619,331,289,619,330,288,1,0,0
Iowa,1984,5974,5817,687,331,356,686,331,355,1,0,0
Iowa,1985,6234,6059,753,336,417,753,336,417,0,0,0
Iowa,1986,6810,6268,721,355,366,720,354,366,0,0,0
Iowa,1987,6879,6197,692,328,364,692,328,364,0,0,0
Iowa,1988,7027,6211,710,319,391,708,318,391,1,1,0
Iowa,1989,7193,6546,695,312,383,694,311,383,1,1,0
Iowa,1990,7088,6553,646,306,340,645,306,339,0,0,0
Iowa,1991,7113,6777,714,319,395,714,319,395,0,0,0
Iowa,1992,7283,6940,783,335,448,783,335,448,0,0,0
Iowa,1993,7527,7101,717,330,387,717,330,387,0,0,0
Iowa,1994,7851,7135,713,333,379,713,333,379,0,0,0
Iowa,1995,7959,7442,769,345,424,769,345,424,0,0,0
Iowa,1996,7768,7305,748,332,417,748,332,417,0,0,0
Iowa,1997,7744,7468,750,322,428,750,322,428,0,0,0
Iowa,1998,7987,7839,751,327,423,751,327,423,0,0,0
Iowa,1999,8709,8138,811,341,469,811,341,469,0,0,0
Iowa,2000,8369,8395,892,343,550,892,343,550,0,0,0
Iowa,2002,8173,8959,818,350,468,818,350,468,0,0,0
Iowa,2004,9904,9065,696,354,342,696,354,342,0,0,0
Iowa,2005,9824,9097,759,337,422,759,337,422,0,0,0
Iowa,2006,10125,9418,759,336,423,759,336,423,0,0,0
Iowa,2007,10895,9558,734,337,398,734,337,398,0,0,0
Iowa,2008,9420,9745,689,351,338,689,351,338,0,0,0
Iowa,2009,8600,10667,790,368,422,790,368,422,0,0,0
Iowa,2010,11443,10884,850,368,482,850,368,482,0,0,0
Iowa,2011,12304,10777,749,351,398,749,351,398,0,0,0
Iowa,2012,11054,11040,823,350,473,823,350,473,0,0,0
Iowa,2013,11581,10760,749,338,412,749,338,412,0,0,0
Iowa,2014,12155,10909,808,356,452,808,356,452,0,0,0
Iowa,2015,11538,11293,879,361,518,879,361,518,0,0,0
Iowa,2016,11532,11387,842,356,486,842,356,486,0,0,0
Iowa,2017,12442,11279,873,378,495,869,375,495,4,3,1
Kansas,1977,5469,5477,606,269,337,590,258,331,16,11,6
Kansas,1978,5615,5520,573,288,285,556,277,279,17,11,6
Kansas,1979,5644,5416,651,307,345,635,297,338,17,10,7
Kansas,1980,5377,5356,716,290,426,698,280,417,18,10,9
Kansas,1981,5439,5483,665,284,381,649,276,373,16,8,8
Kansas,1982,5499,5307,538,242,296,521,234,288,17,9,8
Kansas,1983,5816,5672,534,275,259,515,266,250,19,9,9
Kansas,1984,6105,5601,560,282,278,542,272,271,17,10,7
Kansas,1985,6504,5787,659,308,351,641,298,343,19,10,8
Kansas,1986,6697,6079,712,301,411,677,290,387,35,11,24
Kansas,1987,7052,6187,684,306,378,673,296,378,11,11,0
Kansas,1988,6656,6069,655,271,384,628,260,368,27,11,16
Kansas,1989,6608,6226,585,279,305,560,268,291,25,11,14
Kansas,1990,6841,6359,619,304,316,590,292,298,29,12,17
Kansas,1991,6645,6485,675,321,354,650,308,342,25,13,12
Kansas,1992,6990,6793,660,333,327,636,320,316,24,13,11
Kansas,1993,7234,6736,644,327,317,631,314,317,13,13,0
Kansas,1994,7759,7069,701,342,359,688,328,359,13,13,0
Kansas,1995,7515,7218,737,335,402,724,322,402,13,13,0
Kansas,1996,7692,7298,799,334,465,786,321,465,13,13,0
Kansas,1997,7591,7168,787,309,479,774,296,479,13,13,0
Kansas,1998,7865,7175,727,302,425,703,289,414,24,13,11
Kansas,1999,7768,7342,736,310,425,711,297,414,25,13,12
Kansas,2000,8579,7620,906,474,432,879,461,418,27,13,14
Kansas,2002,8025,8393,767,342,425,736,328,408,31,14,17
Kansas,2004,8819,8709,841,328,514,814,309,505,28,18,9
Kansas,2005,9139,8663,777,314,464,754,298,456,24,16,8
Kansas,2006,9499,8900,787,312,474,751,296,456,35,17,19
Kansas,2007,10299,9250,706,318,388,673,300,373,33,18,16
Kansas,2008,9167,9572,752,345,407,724,317,406,29,28,0
Kansas,2009,8479,10419,760,332,428,718,306,412,43,27,16
Kansas,2010,10355,10436,674,307,366,638,289,349,36,18,17
Kansas,2011,10842,10074,667,309,358,632,287,345,35,22,13
Kansas,2012,9678,9827,669,325,343,641,304,338,27,22,6
Kansas,2013,10286,9542,626,301,325,609,284,325,17,17,0
Kansas,2014,10547,9718,636,315,321,616,296,320,20,19,1
Kansas,2015,9875,9974,677,322,355,659,305,354,18,18,1
Kansas,2016,9717,10091,691,309,382,666,287,379,25,22,3
Kansas,2017,11085,10490,660,302,358,629,282,347,31,20,11
Kentucky,1977,4755,4572,524,188,336,507,179,329,17,10,8
Kentucky,1978,4822,4540,591,192,400,538,182,356,54,10,44
Kentucky,1979,4876,4904,756,202,554,618,190,428,138,11,126
Kentucky,1980,4662,4942,797,195,602,654,182,472,143,13,130
Kentucky,1981,4594,4725,599,139,460,489,129,360,111,11,100
Kentucky,1982,4553,4449,466,145,322,407,134,273,59,11,49
Kentucky,1983,4699,4545,468,186,282,427,180,246,41,5,36
Kentucky,1984,4903,4716,494,166,328,485,162,324,9,5,4
Kentucky,1985,5276,4738,444,183,261,434,177,257,10,6,4
Kentucky,1986,5738,4977,498,243,255,492,238,255,5,5,0
Kentucky,1987,5655,5260,542,246,296,530,241,289,12,5,7
Kentucky,1988,5749,5383,492,185,307,485,181,304,6,4,2
Kentucky,1989,6076,5555,561,182,379,557,178,379,4,4,0
Kentucky,1990,5987,5538,409,189,221,397,185,213,12,4,8
Kentucky,1991,6430,5989,464,192,272,456,189,267,8,3,5
Kentucky,1992,6621,6274,493,177,316,482,173,309,10,3,7
Kentucky,1993,6709,6283,466,160,307,413,157,256,54,2,51
Kentucky,1994,6780,6219,423,165,258,386,163,224,36,2,34
Kentucky,1995,7139,6470,436,170,265,402,168,234,33,2,31
Kentucky,1996,7380,6638,473,181,292,435,179,256,38,2,35
Kentucky,1997,7833,6886,486,185,301,455,183,273,30,2,28
Kentucky,1998,8158,7081,507,222,285,480,220,260,27,2,25
Kentucky,1999,8337,7478,579,220,359,553,218,335,26,1,24
Kentucky,2000,8859,7549,617,245,371,608,245,363,9,0,9
Kentucky,2002,7487,8261,650,258,392,633,258,375,17,0,17
Kentucky,2004,8398,8393,609,262,347,609,262,347,0,0,0
Kentucky,2005,8422,8194,490,247,243,488,246,242,2,1,1
Kentucky,2006,8912,8624,541,233,308,521,232,290,19,1,18
Kentucky,2007,9387,8810,654,217,437,596,217,379,58,0,58
Kentucky,2008,7825,9183,734,223,511,670,223,447,64,0,64
Kentucky,2009,7436,9524,570,238,332,548,238,310,22,0,22
Kentucky,2010,9710,9978,585,240,345,564,240,324,21,0,21
Kentucky,2011,10217,9740,557,224,333,527,224,304,30,0,30
Kentucky,2012,8706,9649,606,215,391,562,214,348,44,0,43
