,Bridge,Casualties,Comments,"Construction type, use of bridge",Country,Damage,Date,Location,Reason,Unnamed: 10,Unnamed: 9
9,Kinzua Bridge,0 killed,Failed bridge The state decided not to rebuild the Kinzua Bridge.,Historic steel rail viaduct,United States,Partial collapse,21 July 2003,"Kinzua Bridge State Park, Pennsylvania",Hit by tornado with 100 mph winds,,
10,Interstate 95 Howard Avenue Overpass,"0 killed, 1 injured",Northbound lanes shored up with falsework and reopened 3 days later; temporary bridge installed to carry southbound lanes. New permanent bridge completed in November 2004.,Girder and floorbeam,United States,Partial collapse,26 March 2004,"Bridgeport, Connecticut","Car struck a truck carrying 8,000 US gallons (30,000 litres; 6,700 imperial gallons) of heating oil, igniting a fire that melted the bridge superstructure, causing collapse of the southbound lanes",,
12,C-470 overpass over I-70,"3 killed, 0 injured",,,United States,Girder collapse,15 May 2004,"Golden, Colorado","As part of a construction project, a girder twisted, sagged, and fell onto I-70. An SUV was driving eastbound and struck the fallen girder; the top of the vehicle was torn off and the three passengers died instantly.[35]",,
15,I-10 Twin Span Bridge,"0 killed, 0 injured",Bridge was reconstructed but later replaced with two new spans due to vulnerability to storm surges.,Two parallel trestle bridges crossing the eastern end of Lake Pontchartrain,United States,"The eastbound span was missing 38 segments with another 170 misaligned, while the westbound span was missing 26 segments with 265 misaligned.",29 August 2005,"New Orleans and Slidell, Louisiana","After Hurricane Katrina on August 29, 2005, the old Twin Spans suffered extensive damage, as the rising storm surge had pulled or shifted bridge segments off their piers.",,
20,Interstate 88 Bridge,2 killed[38],"NYSDOT started construction to replace the section of highway almost immediately, and it was re-opened August 31.[39]",Road bridge,United States,Bridge total damage,28 June 2006,"Unadilla, New York",Collapsed during Mid-Atlantic United States flood of 2006,,
29,MacArthur Maze,"1 injured in crash, 0 from collapse",Span rebuilt in 26 days.,,United States,,29 April 2007,"Oakland, California","Tanker truck crash and explosion, resulting fire softened steel sections of flyover causing them to collapse.",,
32,Minneapolis I-35W bridge over the Mississippi River,"13 killed, 145 injured","Security camera images show the collapse in animation, looking north. Collapsed at 6:05PM beneath bumper-to-bumper rush hour traffic confined to 4 of 8 lanes due to resurfacing in progress. The rebuilt I-35W Saint Anthony Falls Bridge was reopened on 18 September 2008.",Arch/truss bridge,United States,Total bridge failure,1 August 2007,"Minneapolis, Minnesota","The NTSB said that undersized gusset plates, increased concrete surfacing load, and weight of construction supplies/equipment caused this collapse.",,
34,Harp Road bridge,"0 killed, 0 injured","Approximate weight of load was 180,000 pounds (82,000 kg); bridge is rated at 35,000 pounds (16,000 kg). Residents must take a 23-mile (37 km) detour.","Main thoroughfare into Oakville over Garrard Creek, Grays Harbor County",United States,Majority to total collapse; temporary or permanent bridge is needed.,15 August 2007,"Oakville, Washington",Collapsed under weight of a truck hauling an excavator[46][47][48],,
41,The Cedar Rapids and Iowa City Railway (CRANDIC) bridge,"0 killed, 0 injured",The Cedar River was still swollen in this image taken 10 days after the bridge's collapse.,Railroad bridge,United States,Three of the bridge's four steel spans were swept into the river along with 15 CRANDIC rail cars loaded with rock,12 June 2008,"Cedar Rapids, Iowa",During June 2008 Midwest floods,,
47,9 Mile Road Bridge at I-75,"0 killed, 1 injured",Rebuilt and reopened on 11 December of that year,Road bridge,United States,,15 July 2009,"Hazel Park, Michigan",Collapsed due to tanker accident[56],,
50,San Francisco – Oakland Bay Bridge,"0 killed, 1 injury","During an extended closure as part of the eastern span replacement of the San Francisco Oakland Bay Bridge over the 2009 Labor Day holiday, a critical failure was discovered in an eyebar that would have been significant enough to cause a closure of the bridge.[59] Emergency repairs took 70 hours and were completed on 9 September 2009. This is the repair that failed.",I-80,United States,,27 October 2009,"Connects San Francisco and Oakland, California","Two tension rods and a crossbeam from a recently installed repair collapsed during the evening commute, causing the bridge to be closed temporarily.",,
63,Eggner Ferry Bridge over the Tennessee River,"0 killed, 0 Injured","Emergency repairs to bridge completed on May 25, 2012. There were preexisting plans before the collapse to replace the bridge with a 4-lane bridge over the river.",Truss bridge,United States,Span over the recreational channel of the river collapsed.,27 January 2012,"Between Trigg County, Kentucky and Marshall County, Kentucky",The MV Delta Mariner struck the bottom portion of a span of the bridge when travelling in the incorrect channel of the river.,,
65,Jay Cooke State Park Swinging Bridge,"0 killed, 0 injured","Closed for repairs. Reopened November 1, 2013.",Pedestrian swinging wooden plank and cable,United States,Multiple wooden planks washed away. Cables stayed intact.,20 June 2012,"Carlton, Minnesota",Raging floodwaters,,
70,I-5 Skagit River Bridge collapse,"0 killed, 3 Injured","Truss bridges like this one require both the top and the bottom to remain equal in strength and solidity. When the truck hit the top girder, or girders, this caused the pressure/squeeze system to fail, which made the bridge fold up. The design was outdated; more modern types of truss can better withstand such forces.",Polygonal Warren through truss bridge,United States,One 167 foot span collapsed.,23 May 2013,"Mount Vernon, Washington",Oversized semi-truck load carrying drilling equipment from Alberta clipped top steel girder causing bridge collapse.,,
71,Scott City roadway bridge collapse,7 injured,,Concrete road bridge,United States,Two roadway bridge sections collapsed onto the rail line below.,25 May 2013,"Scott City, Missouri","A Union Pacific train T-boned a Burlington Northern Santa Fe train outside of Scott City, Missouri, at approximately 2:30 am. The impact caused numerous rail cars to hit a support pillar of a highway overpass, collapsing two sections of the bridge onto the rail line. Two cars ended up driving onto the collapsed sections, injuring three people in one vehicle and two in the other. Two people on one of the trains were also injured.[76][77]",,
77,Hopple Street Overpass over I-75 Southbound,"1 killed, 0 injured",Bridge collapsed prematurely due to a faulty demolition process,Road bridge,United States,Total bridge collapse,19 January 2015,"Cincinnati, Ohio",Old Northbound Hopple Street offramp totally collapsed onto roadway below during demolition[80],,
81,Pennsy Bridge,"0 killed, 3 injured","Structure was longitudinally saw cut, south half of the structure was open to traffic while the north half was in the process of being demolished. North half collapsed with 51-ton excavator on the bridge. Underlying reason to be determined. Northbound span shut down precautionary. After collapse, structure was fully closed and south half was demolished. New structure was built and opened to traffic on 26 October 2015.[81]",Cast-in-place concrete rigid frame,United States,Partial bridge collapse of north half of span,18 June 2015,"Ridgway, Pennsylvania",Partial collapse during demolition.,,
82,I-10 Bridge,"0 killed, 1 injured",,,United States,Partial bridge collapse of span,20 July 2015,Southern California,"Abutment displacement due to stream meander, which caused abutment scour.",,
83,Bob White Covered Bridge,"0 killed, 0 injured",,Covered timber bridge,United States,Bridge collapsed and washed away during flooding caused by severe rainstorm.,29 September 2015,"Patrick County, Virginia",Destruction due to major flooding,,
88,May Ave. Overpass,No injuries were reported.,Driver was found responsible for collapse.,Girder bridge over expressway,United States,Partial collapse,19 May 2016,"Oklahoma City, Oklahoma","An over-sized load hit the bridge, causing a section of the deck to fail",,
95,Pfeiffer Canyon Bridge,0 killed,"Bridge collapse resulted in a 6-hour detour to get from one side of Big Sur to the other side, effectively splitting the community in half. It was replaced with a 310-foot-long span steel bridge that opened to traffic on 13 October 2017.[94]",Concrete bridge,United States,"The foundation for one of the two piers was undermined by the landslide causing the pier to slide downhill with the earth around it and fail, and the deck to sag.",11 March 2017,"Pfeiffer Big Sur State ParkBig Sur, California",Massive rain and landslide,,
96,I-85N Atlanta,"0 killed, 0 injured",Repair work being done on the I-85 bridge,Concrete Overpass,United States,Investigation pending as to fire cause,30 March 2017,Atlanta,"Fire (allegedly arson) involving HDPE pipe and other construction materials stored under bridge critically weakened structure, which collapsed.",,
104,Florida International University pedestrian bridge collapse,"6 dead, 9 others injured.[101]",,Concrete Pedestrian Bridge,United States,Complete Collapse on public road beneath.,15 March 2018,Florida,"Partially constructed concrete truss bridge with faux cable ties. One of two spans erected without faux cable ties or support tower. Faulty design, failure to follow proper procedures, and lack of redundancy all contributed to failure.",,
113,Dale Bend Bridge [111],,,Truss,United States,,30 January 2019,"Ola, Arkansas",Overweight truck,,
