,Year,Crash Descriptor,Date,Municipality,Collision Type Descriptor,County Name,Road Descriptor,Weather Conditions,Road Surface Conditions,Event Descriptor,Number of Vehicles Involved
653,2015,Property Damage Accident,2015-01-01,AUGUSTA,OTHER,ONEIDA,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
655,2015,Property Damage Accident,2015-01-02,ORANGE,OTHER,SCHUYLER,Curve and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
656,2015,Property Damage Accident,2015-01-02,TYRONE,OTHER,SCHUYLER,Curve and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
673,2015,Property Damage & Injury Accident,2015-01-05,WEST UNION,OTHER,STEUBEN,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
685,2015,Property Damage Accident,2015-01-05,ANGELICA,OTHER,ALLEGANY,Straight and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
686,2015,Property Damage Accident,2015-01-05,ALMOND,OTHER,ALLEGANY,Straight and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
692,2015,Property Damage Accident,2015-01-03,MOHAWK,OTHER,MONTGOMERY,Straight and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
693,2015,Property Damage & Injury Accident,2015-01-04,FLORIDA,OTHER,MONTGOMERY,Curve and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
694,2015,Property Damage & Injury Accident,2015-01-04,MOHAWK,OTHER,MONTGOMERY,Curve and Level,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
709,2015,Property Damage Accident,2015-01-05,FRANKFORT,OTHER,HERKIMER,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
715,2015,Property Damage Accident,2015-01-03,LINDLEY,OTHER,STEUBEN,Curve and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
721,2015,Property Damage Accident,2015-01-01,WAVERLY,OTHER,FRANKLIN,Straight at Hill Crest,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
781,2015,Property Damage Accident,2015-01-03,EAST FISHKILL,OTHER,DUTCHESS,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
784,2015,Property Damage Accident,2015-01-03,SOUTHEAST,OTHER,PUTNAM,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
785,2015,Property Damage Accident,2015-01-03,BARKER,OTHER,BROOME,Straight and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
786,2015,Property Damage Accident,2015-01-03,SOUTHEAST,OTHER,PUTNAM,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
791,2015,Property Damage Accident,2015-01-04,WILTON,OTHER,SARATOGA,Straight and Level,Cloudy,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
793,2015,Property Damage Accident,2015-01-04,MILTON,OTHER,SARATOGA,Curve and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
796,2015,Injury Accident,2015-01-03,MARATHON,OTHER,CORTLAND,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
804,2015,Property Damage & Injury Accident,2015-01-04,VIRGIL,OTHER,CORTLAND,Curve and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
811,2015,Property Damage Accident,2015-01-01,EDEN,OTHER,ERIE,Straight and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
817,2015,Property Damage Accident,2015-01-01,FARMINGTON,OTHER,ONTARIO,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
889,2015,Property Damage Accident,2015-01-01,BERGEN,OTHER,GENESEE,Straight and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
890,2015,Property Damage Accident,2015-01-01,LEROY,OTHER,GENESEE,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
900,2015,Property Damage Accident,2015-01-01,MARILLA,OTHER,ERIE,Straight at Hill Crest,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
936,2015,Property Damage Accident,2015-01-02,FENTON,OTHER,BROOME,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
952,2015,Property Damage Accident,2015-01-03,SAUGERTIES,OTHER,ULSTER,Curve at Hill Crest,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
960,2015,Injury Accident,2015-01-02,WILSON,OTHER,NIAGARA,Straight and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1012,2015,Property Damage Accident,2015-01-03,UNION VALE,OTHER,DUTCHESS,Straight and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1017,2015,Property Damage Accident,2015-01-01,AURELIUS,OTHER,CAYUGA,Curve and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1024,2015,Property Damage Accident,2015-01-03,CLARKSTOWN,OTHER,ROCKLAND,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1061,2015,Injury Accident,2015-01-03,DEERFIELD,OTHER,ONEIDA,Straight and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1073,2015,Property Damage Accident,2015-01-02,SULLIVAN,OTHER,MADISON,Straight and Grade,Snow,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1074,2015,Property Damage Accident,2015-01-03,VERONA,OTHER,ONEIDA,Straight and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1082,2015,Property Damage Accident,2015-01-03,LOUISVILLE,OTHER,ST. LAWRENCE,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1083,2015,Property Damage & Injury Accident,2015-01-03,KIRKWOOD,OTHER,BROOME,Curve and Grade,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1094,2015,Injury Accident,2015-01-03,SCIPIO,OTHER,CAYUGA,Straight and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1106,2015,Property Damage & Injury Accident,2015-01-03,VIRGIL,OTHER,CORTLAND,Straight and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1113,2015,Property Damage Accident,2015-01-04,CANDOR,OTHER,TIOGA,Curve and Level,Clear,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1118,2015,Property Damage & Injury Accident,2015-01-03,ELLERY,OTHER,CHAUTAUQUA,Curve and Grade,Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1175,2015,Property Damage & Injury Accident,2015-01-06,MILTON,OTHER,SARATOGA,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1180,2015,Property Damage & Injury Accident,2015-01-05,STILLWATER,OTHER,SARATOGA,Curve and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1207,2015,Property Damage & Injury Accident,2015-01-06,MINDEN,OTHER,MONTGOMERY,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1208,2015,Property Damage Accident,2015-01-01,ROYALTON,OTHER,NIAGARA,Straight and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1308,2015,Property Damage & Injury Accident,2015-01-04,WARWICK,OTHER,ORANGE,Straight and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1315,2015,Injury Accident,2015-01-03,NORTH HARMONY,OTHER,CHAUTAUQUA,Curve and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1328,2015,Property Damage & Injury Accident,2015-01-03,MILAN,OTHER,DUTCHESS,Curve and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1340,2015,Injury Accident,2015-01-04,GLENVILLE,OTHER,SCHENECTADY,Curve and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1361,2015,Injury Accident,2015-01-03,CLAY,OTHER,ONONDAGA,Straight and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1369,2015,Injury Accident,2015-01-03,CAMILLUS,OTHER,ONONDAGA,Curve and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1373,2015,Injury Accident,2015-01-03,CICERO,OTHER,ONONDAGA,Straight and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1374,2015,Property Damage Accident,2015-01-03,SKANEATELES,OTHER,ONONDAGA,Straight at Hill Crest,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1376,2015,Property Damage Accident,2015-01-03,DEWITT,OTHER,ONONDAGA,Straight and Level,Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1395,2015,Property Damage & Injury Accident,2015-01-03,CANADICE,OTHER,ONTARIO,Straight and Grade,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1410,2015,Property Damage Accident,2015-01-05,CONCORD,OTHER,ERIE,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1415,2015,Property Damage Accident,2015-01-03,CLARENCE,OTHER,ERIE,Straight and Level,Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1430,2015,Injury Accident,2015-01-06,MT. MORRIS,OTHER,LIVINGSTON,Curve and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1436,2015,Property Damage Accident,2015-01-05,VERNON,OTHER,ONEIDA,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1438,2015,Property Damage & Injury Accident,2015-01-05,VERNON,OTHER,ONEIDA,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1439,2015,Property Damage Accident,2015-01-06,SANGERFIELD,OTHER,ONEIDA,Straight at Hill Crest,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1450,2015,Property Damage Accident,2015-01-03,PITTSFIELD,OTHER,OTSEGO,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1465,2015,Property Damage Accident,2015-01-03,CORTLAND,OTHER,CORTLAND,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1466,2015,Property Damage Accident,2015-01-03,HOMER,OTHER,CORTLAND,Straight and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1467,2015,Property Damage Accident,2015-01-03,CORTLANDVILLE,OTHER,CORTLAND,Straight and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1471,2015,Property Damage & Injury Accident,2015-01-06,SOUTHEAST,OTHER,PUTNAM,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1476,2015,Property Damage Accident,2015-01-03,LIVINGSTON,OTHER,COLUMBIA,Straight and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1494,2015,Property Damage Accident,2015-01-05,MARCY,OTHER,ONEIDA,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1511,2015,Property Damage Accident,2015-01-05,GALEN,OTHER,WAYNE,Curve and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1529,2015,Property Damage & Injury Accident,2015-01-04,GREENVILLE,OTHER,ORANGE,Straight and Level,Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1541,2015,Property Damage Accident,2015-01-06,CHESTNUT RIDGE,OTHER,ROCKLAND,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1555,2015,Property Damage Accident,2015-01-06,LANSING,OTHER,TOMPKINS,Curve and Level,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1559,2015,Property Damage & Injury Accident,2015-01-05,EAST FISHKILL,OTHER,DUTCHESS,Curve and Grade,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1569,2015,Property Damage Accident,2015-01-06,ADDISON,OTHER,STEUBEN,Curve and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1572,2015,Property Damage Accident,2015-01-05,SHERIDAN,OTHER,CHAUTAUQUA,Straight and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1621,2015,Property Damage Accident,2015-01-03,SCHUYLER,OTHER,HERKIMER,Straight and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1627,2015,Property Damage Accident,2015-01-03,PORTVILLE,OTHER,CATTARAUGUS,Straight and Level,Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1629,2015,Property Damage & Injury Accident,2015-01-06,PHILLIPSTOWN,OTHER,PUTNAM,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1660,2015,Property Damage Accident,2015-01-02,OSWEGO,OTHER,OSWEGO,Straight and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1662,2015,Property Damage & Injury Accident,2015-01-02,HANNIBAL,OTHER,OSWEGO,Curve and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1688,2015,Property Damage Accident,2015-01-06,DOBBS FERRY,OTHER,WESTCHESTER,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1711,2015,Property Damage & Injury Accident,2015-01-03,ROYALTON,OTHER,NIAGARA,Curve and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
